word,The Blair Witch Project,The Love Witch,total
im,109,53,162
like,66,54,120
know,71,48,119
dont,68,31,99
witch,19,71,90
love,3,87,90
man,64,23,87
going,71,16,87
oh,41,43,84
okay,77,6,83
back,59,10,69
go,45,14,59
really,27,28,55
way,32,21,53
thats,35,18,53
right,30,22,52
think,31,17,48
yeah,33,14,47
lets,40,5,45
come,33,12,45
please,33,8,41
want,24,14,38
youre,10,27,37
yes,11,24,35
see,20,15,35
ive,15,20,35
woman,20,13,33
look,23,7,30
night,24,3,27
good,17,10,27
god,22,4,26
didnt,14,12,26
day,17,9,26
wanna,16,9,25
need,10,15,25
little,14,11,25
hes,14,11,25
cant,15,10,25
take,7,17,24
sorry,15,9,24
men,7,17,24
give,12,12,24
found,10,14,24
away,18,6,24
car,21,2,23
woods,19,3,22
thing,15,7,22
theres,18,4,22
baby,11,11,22
two,13,8,21
find,13,8,21
stop,17,3,20
people,11,9,20
old,14,6,20
looking,18,2,20
ill,8,12,20
help,15,5,20
today,14,5,19
time,10,9,19
make,6,13,19
life,3,16,19
girl,7,12,19
used,3,15,18
inside,15,3,18
whats,10,7,17
thought,3,14,17
tell,12,5,17
maybe,5,12,17
lost,16,1,17
hear,16,1,17
gonna,15,2,17
feel,5,12,17
weve,15,1,16
thank,6,10,16
sure,7,9,16
happened,12,4,16
guys,14,2,16
gotta,14,2,16
witches,2,13,15
house,10,5,15
heard,12,3,15
work,5,9,14
wanted,4,10,14
sounds,12,2,14
seen,3,11,14
scared,13,1,14
put,13,1,14
mean,7,7,14
id,4,10,14
hi,2,12,14
crazy,5,9,14
sound,10,3,13
shot,12,1,13
point,12,1,13
made,3,10,13
long,9,4,13
keep,12,1,13
home,10,3,13
things,3,9,12
rocks,11,1,12
morning,9,3,12
mm,11,1,12
jesus,11,1,12
witchcraft,2,9,11
wait,7,4,11
three,10,1,11
place,7,4,11
lot,5,6,11
hair,7,4,11
guess,7,4,11
getting,9,2,11
doesnt,4,7,11
cause,9,2,11
youve,5,5,10
went,8,2,10
uh,6,4,10
town,4,6,10
stuff,7,3,10
shes,7,3,10
pretty,7,3,10
mind,3,7,10
left,4,6,10
kinda,8,2,10
hey,4,6,10
happy,9,1,10
face,9,1,10
exactly,8,2,10
crying,8,2,10
check,8,2,10
call,5,5,10
bottle,3,7,10
believe,8,2,10
wasnt,7,2,9
understand,5,4,9
try,6,3,9
theyre,2,7,9
story,8,1,9
ready,8,1,9
possible,7,2,9
poor,1,8,9
nice,3,6,9
near,7,2,9
meet,3,6,9
looks,7,2,9
leave,7,2,9
hope,5,4,9
hell,6,3,9
hard,5,4,9
gave,6,3,9
fine,6,3,9
done,5,4,9
doing,7,2,9
course,1,8,9
coming,6,3,9
walk,7,1,8
turns,5,3,8
tonight,2,6,8
tomorrow,6,2,8
stay,6,2,8
ones,4,4,8
later,5,3,8
kids,7,1,8
kidding,7,1,8
isnt,2,6,8
die,5,3,8
days,6,2,8
anymore,5,3,8
years,3,4,7
supposed,5,2,7
soon,2,5,7
small,6,1,7
saying,5,2,7
remember,5,2,7
quite,2,5,7
open,5,2,7
minutes,6,1,7
hello,6,1,7
havent,4,3,7
end,4,3,7
care,3,4,7
captain,6,1,7
came,3,4,7
white,2,4,6
watch,4,2,6
view,5,1,6
use,2,4,6
um,4,2,6
trying,4,2,6
strange,3,3,6
start,2,4,6
serious,4,2,6
river,5,1,6
reading,4,2,6
quiet,4,2,6
police,1,5,6
name,2,4,6
mans,3,3,6
leaving,5,1,6
king,2,4,6
games,5,1,6
feet,5,1,6
fact,2,4,6
couldnt,1,5,6
body,1,5,6
bitch,3,3,6
bit,5,1,6
beer,5,1,6
bad,2,4,6
ah,5,1,6
youll,1,4,5
wont,1,4,5
werent,4,1,5
told,2,3,5
thinking,1,4,5
store,3,2,5
sleep,2,3,5
shoot,4,1,5
shhh,4,1,5
room,2,3,5
relax,4,1,5
mouth,4,1,5
lights,4,1,5
learn,2,3,5
late,1,4,5
knows,4,1,5
killed,1,4,5
hungry,4,1,5
human,2,3,5
hold,3,2,5
high,3,2,5
having,3,2,5
hand,4,1,5
ground,4,1,5
feeling,2,3,5
fear,3,2,5
drink,2,3,5
disappeared,3,2,5
death,2,3,5
dark,4,1,5
creepy,3,2,5
cabin,2,3,5
business,2,3,5
black,1,4,5
big,4,1,5
better,2,3,5
begin,2,3,5
anybody,3,2,5
actually,3,2,5
wow,2,2,4
wouldnt,2,2,4
weed,1,3,4
wake,1,3,4
using,2,2,4
trust,2,2,4
true,2,2,4
tries,3,1,4
touch,2,2,4
times,2,2,4
thee,1,3,4
thanks,1,3,4
tale,1,3,4
taking,3,1,4
stupid,1,3,4
started,1,3,4
stand,1,3,4
smart,3,1,4
show,2,2,4
scotch,3,1,4
scary,3,1,4
run,3,1,4
realize,2,2,4
real,2,2,4
probably,2,2,4
movies,3,1,4
moment,2,2,4
miss,1,3,4
matter,3,1,4
makes,3,1,4
line,1,3,4
kiss,3,1,4
kill,2,2,4
hurt,3,1,4
hows,1,3,4
hot,2,2,4
horse,3,1,4
gone,2,2,4
giving,1,3,4
gets,2,2,4
funny,3,1,4
friend,1,3,4
fight,2,2,4
felt,2,2,4
fall,3,1,4
eyes,3,1,4
different,2,2,4
couple,3,1,4
chest,3,1,4
careful,1,3,4
called,3,1,4
cake,1,3,4
broke,2,2,4
asked,2,2,4
ancient,1,3,4
year,1,2,3
worse,1,2,3
winter,2,1,3
whos,2,1,3
welcome,2,1,3
weird,1,2,3
ways,1,2,3
total,1,2,3
taken,1,2,3
starts,2,1,3
soft,1,2,3
sit,2,1,3
shouldnt,2,1,3
seconds,2,1,3
saw,2,1,3
play,2,1,3
person,1,2,3
nights,2,1,3
natural,1,2,3
naive,2,1,3
messing,2,1,3
means,2,1,3
listen,2,1,3
kind,2,1,3
kept,1,2,3
huh,1,2,3
hill,2,1,3
heres,1,2,3
heavy,2,1,3
hang,2,1,3
guy,1,2,3
gathering,2,1,3
female,1,2,3
exhausted,1,2,3
energy,1,2,3
drop,2,1,3
driving,2,1,3
drive,1,2,3
department,1,2,3
cross,2,1,3
cream,2,1,3
bunch,1,2,3
brought,2,1,3
blood,2,1,3
bite,2,1,3
best,2,1,3
ago,2,1,3
admit,2,1,3
absolutely,2,1,3
wrong,1,1,2
write,1,1,2
worry,1,1,2
working,1,1,2
womans,1,1,2
wish,1,1,2
weight,1,1,2
weekend,1,1,2
wed,1,1,2
unusual,1,1,2
tossed,1,1,2
torture,1,1,2
suppose,1,1,2
step,1,1,2
starting,1,1,2
stands,1,1,2
sister,1,1,2
sign,1,1,2
share,1,1,2
seeing,1,1,2
season,1,1,2
satisfied,1,1,2
safe,1,1,2
rolls,1,1,2
proud,1,1,2
problem,1,1,2
pool,1,1,2
planning,1,1,2
places,1,1,2
part,1,1,2
older,1,1,2
occult,1,1,2
mustard,1,1,2
mess,1,1,2
makeup,1,1,2
lived,1,1,2
lie,1,1,2
laying,1,1,2
job,1,1,2
interesting,1,1,2
interested,1,1,2
hole,1,1,2
hmm,1,1,2
history,1,1,2
harder,1,1,2
halloween,1,1,2
gotten,1,1,2
glass,1,1,2
fun,1,1,2
flesh,1,1,2
figure,1,1,2
familiar,1,1,2
exists,1,1,2
eat,1,1,2
destroyed,1,1,2
deep,1,1,2
cult,1,1,2
control,1,1,2
clear,1,1,2
clean,1,1,2
children,1,1,2
child,1,1,2
certain,1,1,2
books,1,1,2
bleed,1,1,2
beginning,1,1,2
asking,1,1,2
arm,1,1,2
arent,1,1,2
apparently,1,1,2
anyway,1,1,2
amazing,1,1,2
act,1,1,2
heather,525,0,525
mike,331,0,331
josh,274,0,274
cuts,113,0,113
fucking,95,0,95
camera,62,0,62
shit,52,0,52
map,44,0,44
ahead,41,0,41
fuck,39,0,39
tent,33,0,33
fisherman,23,0,23
cut,18,0,18
begins,18,0,18
turn,16,0,16
video,15,0,15
joshs,15,0,15
distance,15,0,15
blair,15,0,15
voice,14,0,14
light,14,0,14
whispers,13,0,13
rock,13,0,13
laughs,13,0,13
laughing,13,0,13
ass,12,0,12
log,11,0,11
hiking,11,0,11
cool,11,0,11
compass,11,0,11
stream,10,0,10
south,10,0,10
slate,10,0,10
mary,10,0,10
dat,10,0,10
cemetery,10,0,10
shooting,9,0,9
pack,9,0,9
camp,9,0,9
walking,8,0,8
seriously,8,0,8
points,8,0,8
mikes,8,0,8
knew,8,0,8
head,8,0,8
fucked,8,0,8
documentary,8,0,8
useless,7,0,7
tree,7,0,7
trail,7,0,7
stairs,7,0,7
outside,7,0,7
mumbles,7,0,7
hours,7,0,7
holding,7,0,7
hands,7,0,7
darkness,7,0,7
crossing,7,0,7
crew,7,0,7
creek,7,0,7
close,7,0,7
christ,7,0,7
brown,7,0,7
yesterday,6,0,6
yah,6,0,6
tired,6,0,6
stick,6,0,6
steps,6,0,6
sitting,6,0,6
project,6,0,6
muffled,6,0,6
mom,6,0,6
middle,6,0,6
laugh,6,0,6
heathers,6,0,6
five,6,0,6
fire,6,0,6
finger,6,0,6
deer,6,0,6
coffin,6,0,6
bound,6,0,6
wheres,5,0,5
wet,5,0,5
walks,5,0,5
twigs,5,0,5
trees,5,0,5
sticks,5,0,5
sleeping,5,0,5
shots,5,0,5
set,5,0,5
rest,5,0,5
rain,5,0,5
playing,5,0,5
mikey,5,0,5
hit,5,0,5
gear,5,0,5
forth,5,0,5
film,5,0,5
east,5,0,5
dude,5,0,5
bullshit,5,0,5
bag,5,0,5
area,5,0,5
wicked,4,0,4
water,4,0,4
totally,4,0,4
top,4,0,4
sobs,4,0,4
sighs,4,0,4
side,4,0,4
scene,4,0,4
running,4,0,4
pocket,4,0,4
piles,4,0,4
pants,4,0,4
pain,4,0,4
packed,4,0,4
meters,4,0,4
making,4,0,4
knock,4,0,4
kicked,4,0,4
insisted,4,0,4
important,4,0,4
hike,4,0,4
haunted,4,0,4
gate,4,0,4
full,4,0,4
filming,4,0,4
fault,4,0,4
far,4,0,4
equipment,4,0,4
dead,4,0,4
damn,4,0,4
cry,4,0,4
cries,4,0,4
cracking,4,0,4
continues,4,0,4
cold,4,0,4
cellar,4,0,4
burkittsville,4,0,4
bundle,4,0,4
book,4,0,4
bodies,4,0,4
asshole,4,0,4
america,4,0,4
alright,4,0,4
writing,3,0,3
worth,3,0,3
whispered,3,0,3
washing,3,0,3
walked,3,0,3
took,3,0,3
throw,3,0,3
telling,3,0,3
supposedly,3,0,3
stops,3,0,3
stopped,3,0,3
standing,3,0,3
somebody,3,0,3
slime,3,0,3
sixteen,3,0,3
sir,3,0,3
silence,3,0,3
shut,3,0,3
shirt,3,0,3
shh,3,0,3
shawl,3,0,3
seven,3,0,3
second,3,0,3
scream,3,0,3
rustling,3,0,3
reality,3,0,3
putting,3,0,3
pushes,3,0,3
potatoes,3,0,3
pile,3,0,3
picks,3,0,3
panting,3,0,3
packs,3,0,3
opening,3,0,3
nope,3,0,3
move,3,0,3
motivation,3,0,3
moans,3,0,3
mister,3,0,3
michael,3,0,3
mashed,3,0,3
marys,3,0,3
maryland,3,0,3
louder,3,0,3
loosing,3,0,3
loose,3,0,3
learned,3,0,3
leaf,3,0,3
hundred,3,0,3
holy,3,0,3
gloves,3,0,3
ghosts,3,0,3
gasps,3,0,3
fur,3,0,3
footage,3,0,3
excited,3,0,3
ended,3,0,3
ditch,3,0,3
diner,3,0,3
defiantly,3,0,3
confronts,3,0,3
cigarette,3,0,3
campsite,3,0,3
cameras,3,0,3
calm,3,0,3
breaks,3,0,3
bought,3,0,3
boots,3,0,3
babies,3,0,3
american,3,0,3
alive,3,0,3
aint,3,0,3
zooms,2,0,2
young,2,0,2
yo,2,0,2
yelling,2,0,2
yell,2,0,2
whisper,2,0,2
whatd,2,0,2
west,2,0,2
wandered,2,0,2
walls,2,0,2
wall,2,0,2
various,2,0,2
unintelligible,2,0,2
uncool,2,0,2
twenty,2,0,2
throws,2,0,2
thick,2,0,2
taping,2,0,2
table,2,0,2
swear,2,0,2
sudden,2,0,2
streams,2,0,2
straight,2,0,2
statement,2,0,2
souvenir,2,0,2
sounding,2,0,2
sounded,2,0,2
sorts,2,0,2
smokes,2,0,2
sky,2,0,2
sings,2,0,2
sing,2,0,2
shows,2,0,2
short,2,0,2
shoes,2,0,2
shivers,2,0,2
shits,2,0,2
shifts,2,0,2
sets,2,0,2
screwed,2,0,2
screams,2,0,2
scouted,2,0,2
schedule,2,0,2
save,2,0,2
salad,2,0,2
runs,2,0,2
row,2,0,2
rocking,2,0,2
road,2,0,2
rising,2,0,2
ripkin,2,0,2
rice,2,0,2
remain,2,0,2
redneck,2,0,2
record,2,0,2
rear,2,0,2
reaching,2,0,2
ran,2,0,2
raisin,2,0,2
quickly,2,0,2
punch,2,0,2
pumpkin,2,0,2
prints,2,0,2
prepare,2,0,2
powerbar,2,0,2
possibly,2,0,2
positive,2,0,2
porch,2,0,2
plan,2,0,2
piece,2,0,2
pie,2,0,2
period,2,0,2
parr,2,0,2
packing,2,0,2
opened,2,0,2
ohhh,2,0,2
obvious,2,0,2
notice,2,0,2
noises,2,0,2
myth,2,0,2
mouse,2,0,2
mountain,2,0,2
motions,2,0,2
motel,2,0,2
moms,2,0,2
mirror,2,0,2
meatball,2,0,2
lying,2,0,2
losing,2,0,2
lens,2,0,2
leaves,2,0,2
laughter,2,0,2
laid,2,0,2
knocked,2,0,2
knees,2,0,2
kay,2,0,2
joshes,2,0,2
island,2,0,2
ieee,2,0,2
ice,2,0,2
hyperventilate,2,0,2
hunted,2,0,2
hitting,2,0,2
hate,2,0,2
harry,2,0,2
hahaha,2,0,2
haha,2,0,2
haaa,2,0,2
guzzling,2,0,2
grows,2,0,2
gray,2,0,2
grab,2,0,2
goddamn,2,0,2
gives,2,0,2
gilligan,2,0,2
fuckin,2,0,2
front,2,0,2
freaking,2,0,2
four,2,0,2
footsteps,2,0,2
fool,2,0,2
following,2,0,2
flashlight,2,0,2
fingers,2,0,2
finally,2,0,2
fighting,2,0,2
field,2,0,2
feels,2,0,2
fat,2,0,2
fart,2,0,2
explore,2,0,2
examines,2,0,2
embankment,2,0,2
eerie,2,0,2
edit,2,0,2
earshot,2,0,2
dunno,2,0,2
doubles,2,0,2
disgust,2,0,2
disappearing,2,0,2
direct,2,0,2
deal,2,0,2
danger,2,0,2
dad,2,0,2
crawl,2,0,2
cp,2,0,2
country,2,0,2
compared,2,0,2
community,2,0,2
comforts,2,0,2
closer,2,0,2
climb,2,0,2
cigarettes,2,0,2
chill,2,0,2
cheeseburger,2,0,2
cars,2,0,2
camping,2,0,2
cal,2,0,2
cackling,2,0,2
breath,2,0,2
breaking,2,0,2
break,2,0,2
branches,2,0,2
bottom,2,0,2
blurry,2,0,2
blows,2,0,2
bloody,2,0,2
bless,2,0,2
blank,2,0,2
bible,2,0,2
betrayed,2,0,2
babbling,2,0,2
awe,2,0,2
asleep,2,0,2
arrives,2,0,2
arms,2,0,2
appears,2,0,2
ahh,2,0,2
zoom,1,0,1
yup,1,0,1
yep,1,0,1
yelled,1,0,1
yeehaww,1,0,1
yawns,1,0,1
yards,1,0,1
writings,1,0,1
wright,1,0,1
wrest,1,0,1
wouldve,1,0,1
worst,1,0,1
wool,1,0,1
wondered,1,0,1
woke,1,0,1
wives,1,0,1
wits,1,0,1
witchll,1,0,1
wine,1,0,1
windshield,1,0,1
windows,1,0,1
wildly,1,0,1
whispering,1,0,1
weeps,1,0,1
weeds,1,0,1
weaver,1,0,1
weasel,1,0,1
waves,1,0,1
watching,1,0,1
warmer,1,0,1
warm,1,0,1
waken,1,0,1
waitress,1,0,1
waaaahooooo,1,0,1
waaaahhhoooo,1,0,1
vultures,1,0,1
vine,1,0,1
vienna,1,0,1
videotapes,1,0,1
vhs,1,0,1
vapor,1,0,1
utz,1,0,1
usually,1,0,1
uruguay,1,0,1
unzips,1,0,1
unzipped,1,0,1
unusually,1,0,1
untie,1,0,1
unsnaged,1,0,1
unknown,1,0,1
unfolded,1,0,1
uncontrollable,1,0,1
uncomforted,1,0,1
uncomfortable,1,0,1
uhhms,1,0,1
twilights,1,0,1
twice,1,0,1
tv,1,0,1
turning,1,0,1
tumbling,1,0,1
truth,1,0,1
trinkets,1,0,1
trick,1,0,1
trembling,1,0,1
traveling,1,0,1
trappers,1,0,1
trailer,1,0,1
track,1,0,1
touching,1,0,1
touched,1,0,1
toss,1,0,1
torso,1,0,1
torn,1,0,1
tore,1,0,1
toe,1,0,1
toast,1,0,1
till,1,0,1
tightly,1,0,1
thrown,1,0,1
throwing,1,0,1
threatened,1,0,1
thinks,1,0,1
thin,1,0,1
thew,1,0,1
theme,1,0,1
terror,1,0,1
terrified,1,0,1
terrible,1,0,1
tells,1,0,1
teeth,1,0,1
tears,1,0,1
tastes,1,0,1
tapings,1,0,1
tape,1,0,1
tall,1,0,1
talking,1,0,1
takes,1,0,1
system,1,0,1
symbols,1,0,1
swivels,1,0,1
swings,1,0,1
swig,1,0,1
swats,1,0,1
surprised,1,0,1
suns,1,0,1
sunday,1,0,1
sun,1,0,1
stutters,1,0,1
student,1,0,1
stuck,1,0,1
struggling,1,0,1
struggles,1,0,1
struggle,1,0,1
structure,1,0,1
strips,1,0,1
strip,1,0,1
string,1,0,1
stress,1,0,1
street,1,0,1
strap,1,0,1
stories,1,0,1
stone,1,0,1
stirring,1,0,1
stir,1,0,1
stench,1,0,1
state,1,0,1
staring,1,0,1
stacked,1,0,1
squatting,1,0,1
spuratic,1,0,1
spite,1,0,1
spirited,1,0,1
spilled,1,0,1
speed,1,0,1
specifically,1,0,1
speaking,1,0,1
spacer,1,0,1
sorta,1,0,1
song,1,0,1
son,1,0,1
somthin,1,0,1
someones,1,0,1
solid,1,0,1
sob,1,0,1
smoking,1,0,1
smiles,1,0,1
smell,1,0,1
smallest,1,0,1
slowly,1,0,1
slippery,1,0,1
slightly,1,0,1
slide,1,0,1
skipper,1,0,1
sketch,1,0,1
sized,1,0,1
six,1,0,1
situation,1,0,1
site,1,0,1
sides,1,0,1
shudders,1,0,1
shudder,1,0,1
shrinking,1,0,1
showing,1,0,1
shoves,1,0,1
shoulder,1,0,1
shortcuts,1,0,1
shopping,1,0,1
ship,1,0,1
shhhhh,1,0,1
sheriff,1,0,1
shanty,1,0,1
shaking,1,0,1
shake,1,0,1
shack,1,0,1
setting,1,0,1
separate,1,0,1
selfish,1,0,1
searched,1,0,1
search,1,0,1
screaming,1,0,1
scratched,1,0,1
scientist,1,0,1
school,1,0,1
scheduled,1,0,1
scattered,1,0,1
sausage,1,0,1
salt,1,0,1
safety,1,0,1
rushed,1,0,1
ruined,1,0,1
rubs,1,0,1
rounds,1,0,1
roots,1,0,1
rolling,1,0,1
roll,1,0,1
robin,1,0,1
roasted,1,0,1
return,1,0,1
rests,1,0,1
responsible,1,0,1
resources,1,0,1
research,1,0,1
reply,1,0,1
removed,1,0,1
remove,1,0,1
religious,1,0,1
relaxed,1,0,1
relatively,1,0,1
refereed,1,0,1
red,1,0,1
recorded,1,0,1
recall,1,0,1
reason,1,0,1
reaches,1,0,1
rationally,1,0,1
rambling,1,0,1
raining,1,0,1
quit,1,0,1
quick,1,0,1
puts,1,0,1
purpose,1,0,1
pure,1,0,1
punctuality,1,0,1
punching,1,0,1
pulls,1,0,1
pull,1,0,1
protruding,1,0,1
properly,1,0,1
profusely,1,0,1
process,1,0,1
pretend,1,0,1
preparing,1,0,1
prepared,1,0,1
precision,1,0,1
positively,1,0,1
portion,1,0,1
poring,1,0,1
plops,1,0,1
pleasantly,1,0,1
plaster,1,0,1
pitch,1,0,1
piss,1,0,1
pick,1,0,1
phew,1,0,1
persons,1,0,1
personally,1,0,1
permission,1,0,1
paw,1,0,1
patterns,1,0,1
patch,1,0,1
passed,1,0,1
pass,1,0,1
party,1,0,1
parts,1,0,1
parked,1,0,1
paraguay,1,0,1
oww,1,0,1
owl,1,0,1
overhmm,1,0,1
orgies,1,0,1
opportunity,1,0,1
omen,1,0,1
offence,1,0,1
october,1,0,1
oclock,1,0,1
occultic,1,0,1
occasion,1,0,1
obviously,1,0,1
oatmeal,1,0,1
numerous,1,0,1
number,1,0,1
noticing,1,0,1
notebook,1,0,1
nostrils,1,0,1
nooo,1,0,1
noise,1,0,1
nods,1,0,1
ninety,1,0,1
nine,1,0,1
nervously,1,0,1
neighbors,1,0,1
necessary,1,0,1
nearby,1,0,1
national,1,0,1
naked,1,0,1
nah,1,0,1
mystified,1,0,1
mucus,1,0,1
moving,1,0,1
moves,1,0,1
mouths,1,0,1
mountiness,1,0,1
motives,1,0,1
moss,1,0,1
moooove,1,0,1
mmmm,1,0,1
misty,1,0,1
mists,1,0,1
missing,1,0,1
millimeter,1,0,1
mending,1,0,1
melty,1,0,1
measure,1,0,1
max,1,0,1
marshmallows,1,0,1
marrrrshmelllowwwss,1,0,1
market,1,0,1
marked,1,0,1
mark,1,0,1
marches,1,0,1
mamma,1,0,1
mag,1,0,1
lungs,1,0,1
lunatic,1,0,1
loudly,1,0,1
loud,1,0,1
lots,1,0,1
looms,1,0,1
looked,1,0,1
logs,1,0,1
locations,1,0,1
locals,1,0,1
loaded,1,0,1
lit,1,0,1
listening,1,0,1
lipstick,1,0,1
lifts,1,0,1
lift,1,0,1
licking,1,0,1
licked,1,0,1
level,1,0,1
lemme,1,0,1
legs,1,0,1
legends,1,0,1
legend,1,0,1
leans,1,0,1
layers,1,0,1
laughed,1,0,1
large,1,0,1
laced,1,0,1
keeps,1,0,1
jut,1,0,1
jumps,1,0,1
juice,1,0,1
joy,1,0,1
joke,1,0,1
jitters,1,0,1
jiggles,1,0,1
jelly,1,0,1
jeans,1,0,1
jabbing,1,0,1
intestines,1,0,1
intention,1,0,1
inspection,1,0,1
inscribed,1,0,1
ingrid,1,0,1
inflicted,1,0,1
indicated,1,0,1
indecipherable,1,0,1
incredibly,1,0,1
incidence,1,0,1
importance,1,0,1
imagine,1,0,1
image,1,0,1
illiterate,1,0,1
ignorance,1,0,1
iee,1,0,1
hysterically,1,0,1
hyperventilating,1,0,1
hushes,1,0,1
hurtin,1,0,1
hurrying,1,0,1
hurry,1,0,1
hunting,1,0,1
humorless,1,0,1
humanly,1,0,1
humanity,1,0,1
huddling,1,0,1
horror,1,0,1
hoooo,1,0,1
holds,1,0,1
historian,1,0,1
hilarious,1,0,1
hhuh,1,0,1
hermit,1,0,1
helps,1,0,1
helping,1,0,1
hedges,1,0,1
heavily,1,0,1
heaters,1,0,1
heartily,1,0,1
hearing,1,0,1
headstones,1,0,1
heads,1,0,1
haunt,1,0,1
hasnt,1,0,1
hardly,1,0,1
happening,1,0,1
happen,1,0,1
hanging,1,0,1
handful,1,0,1
hairy,1,0,1
hairs,1,0,1
gutted,1,0,1
grunt,1,0,1
grow,1,0,1
grocery,1,0,1
greek,1,0,1
graves,1,0,1
gravel,1,0,1
grapple,1,0,1
grandmothers,1,0,1
grace,1,0,1
gory,1,0,1
gore,1,0,1
goes,1,0,1
goddamned,1,0,1
goat,1,0,1
gleaming,1,0,1
glares,1,0,1
girlfriend,1,0,1
gilligans,1,0,1
gigantic,1,0,1
ghost,1,0,1
general,1,0,1
fully,1,0,1
fudge,1,0,1
fucker,1,0,1
fu,1,0,1
freezing,1,0,1
free,1,0,1
freaked,1,0,1
forward,1,0,1
forming,1,0,1
formation,1,0,1
forever,1,0,1
forest,1,0,1
forearm,1,0,1
followed,1,0,1
follow,1,0,1
fogged,1,0,1
floor,1,0,1
flight,1,0,1
flashlights,1,0,1
flap,1,0,1
