word,The Witches of Eastwick,Harry Potter and the Prisoner of Azkaban,total
come,29,69,98
know,50,44,94
see,29,37,66
think,28,35,63
go,26,37,63
like,32,30,62
yes,29,27,56
good,21,35,56
right,22,28,50
want,31,16,47
oh,19,28,47
little,28,16,44
time,16,27,43
look,19,20,39
back,11,25,36
take,15,17,32
okay,16,15,31
going,18,12,30
black,1,29,30
yeah,10,19,29
really,11,18,29
make,21,8,29
sorry,10,17,27
way,7,19,26
done,4,20,24
man,10,13,23
doing,13,9,22
away,8,14,22
wait,5,16,21
feel,14,7,21
keep,6,14,20
thank,10,9,19
nice,9,10,19
day,9,10,19
woman,15,3,18
two,8,10,18
sure,8,10,18
things,12,5,17
tell,4,13,17
stop,14,3,17
somebody,13,4,17
please,5,12,17
kill,1,16,17
give,5,12,17
thing,6,10,16
talking,7,9,16
name,10,6,16
mind,6,10,16
mean,5,11,16
love,15,1,16
ill,1,15,16
boy,1,15,16
better,6,10,16
god,12,3,15
three,7,7,14
night,2,12,14
need,5,9,14
great,5,9,14
eyes,9,5,14
dead,5,9,14
bit,3,11,14
trying,6,7,13
true,8,5,13
made,5,8,13
looking,7,6,13
life,8,5,13
coming,3,10,13
call,10,3,13
wrong,7,5,12
understand,7,5,12
thought,4,8,12
talk,8,4,12
open,6,6,12
fine,6,6,12
world,7,4,11
try,5,6,11
old,1,10,11
hell,4,7,11
hear,4,7,11
happen,10,1,11
excuse,3,8,11
word,2,8,10
today,6,4,10
put,3,7,10
play,7,3,10
eat,5,5,10
course,5,5,10
told,5,4,9
terrible,7,2,9
room,1,8,9
people,6,3,9
pain,8,1,9
maybe,6,3,9
listen,2,7,9
house,8,1,9
hello,4,5,9
gone,2,7,9
friends,4,5,9
friend,1,8,9
find,1,8,9
care,5,4,9
big,6,3,9
believe,5,4,9
use,5,3,8
sweet,5,3,8
shut,3,5,8
place,4,4,8
new,5,3,8
lost,2,6,8
looks,2,6,8
kind,6,2,8
heard,1,7,8
having,5,3,8
funny,2,6,8
free,1,7,8
family,6,2,8
easy,7,1,8
dark,2,6,8
best,2,6,8
stay,1,6,7
seen,2,5,7
remember,3,4,7
poor,5,2,7
morning,5,2,7
minute,2,5,7
long,2,5,7
knows,4,3,7
killed,1,6,7
home,4,3,7
help,3,4,7
head,3,4,7
happy,3,4,7
five,4,3,7
exactly,2,5,7
cup,1,6,7
came,3,4,7
business,3,4,7
anybody,6,1,7
wanted,2,4,6
truth,2,4,6
tomorrow,3,3,6
thinking,4,2,6
supposed,2,4,6
soul,2,4,6
small,4,2,6
sit,3,3,6
seeing,2,4,6
ready,1,5,6
quick,1,5,6
person,2,4,6
ones,2,4,6
nature,3,3,6
mother,1,5,6
meet,5,1,6
meant,1,5,6
matter,5,1,6
later,1,5,6
knew,2,4,6
inside,4,2,6
imagine,2,4,6
idea,1,5,6
hurt,4,2,6
guys,1,5,6
gave,2,4,6
four,5,1,6
feeling,4,2,6
fear,1,5,6
evil,4,2,6
didn,5,1,6
creatures,1,5,6
chocolate,4,2,6
children,4,2,6
catch,1,5,6
called,4,2,6
bad,3,3,6
ask,3,3,6
actually,2,4,6
worst,1,4,5
work,3,2,5
wonderful,1,4,5
walk,1,4,5
trouble,2,3,5
times,3,2,5
teach,1,4,5
school,1,4,5
rubbish,1,4,5
reason,1,4,5
powerful,2,3,5
power,2,3,5
miss,2,3,5
makes,4,1,5
lucky,2,3,5
lot,2,3,5
liberty,4,1,5
left,3,2,5
late,3,2,5
kiss,2,3,5
hope,1,4,5
happens,4,1,5
hand,2,3,5
full,2,3,5
forget,1,4,5
devil,4,1,5
clothes,1,4,5
brandy,1,4,5
boys,2,3,5
bed,4,1,5
beautiful,2,3,5
appreciate,4,1,5
words,2,2,4
won,3,1,4
went,2,2,4
warn,2,2,4
waiting,2,2,4
used,2,2,4
thanks,1,3,4
taken,1,3,4
swear,1,3,4
stopped,1,3,4
start,1,3,4
stand,2,2,4
sleep,1,3,4
six,3,1,4
seven,2,2,4
sent,1,3,4
sense,3,1,4
send,1,3,4
pieces,2,2,4
past,1,3,4
murder,2,2,4
mrs,3,1,4
major,1,3,4
lord,2,2,4
loose,1,3,4
killer,1,3,4
honest,3,1,4
hold,2,2,4
heart,1,3,4
heads,1,3,4
happening,3,1,4
hang,1,3,4
hands,1,3,4
goodness,2,2,4
getting,2,2,4
future,2,2,4
force,1,3,4
feed,3,1,4
fat,1,3,4
fair,3,1,4
double,3,1,4
die,3,1,4
deep,2,2,4
death,1,3,4
couple,3,1,4
change,2,2,4
building,2,2,4
bring,1,3,4
blood,1,3,4
bitch,3,1,4
young,1,2,3
works,1,2,3
weeks,1,2,3
watch,1,2,3
top,2,1,3
telling,1,2,3
taking,1,2,3
strong,2,1,3
store,2,1,3
single,2,1,3
shop,2,1,3
settle,2,1,3
saying,2,1,3
rest,1,2,3
realize,2,1,3
practice,2,1,3
point,1,2,3
pea,1,2,3
pass,2,1,3
normal,2,1,3
moving,1,2,3
missing,1,2,3
minutes,2,1,3
mad,1,2,3
lump,1,2,3
lose,1,2,3
looked,2,1,3
loathsome,1,2,3
line,1,2,3
leg,2,1,3
leave,1,2,3
join,1,2,3
insult,1,2,3
hair,1,2,3
grow,2,1,3
goes,1,2,3
garden,2,1,3
found,1,2,3
forgot,2,1,3
forever,2,1,3
fill,1,2,3
feet,2,1,3
face,1,2,3
especially,2,1,3
end,1,2,3
earth,2,1,3
drop,1,2,3
drink,2,1,3
different,2,1,3
deserve,1,2,3
deal,2,1,3
danger,1,2,3
damn,1,2,3
creature,1,2,3
common,1,2,3
calm,1,2,3
broken,1,2,3
asked,2,1,3
ah,2,1,3
absolutely,1,2,3
wonder,1,1,2
wind,1,1,2
weird,1,1,2
ungrateful,1,1,2
treat,1,1,2
touch,1,1,2
tired,1,1,2
ten,1,1,2
suppose,1,1,2
study,1,1,2
students,1,1,2
spine,1,1,2
spend,1,1,2
sold,1,1,2
smell,1,1,2
skies,1,1,2
shopping,1,1,2
serves,1,1,2
sending,1,1,2
sees,1,1,2
scare,1,1,2
sake,1,1,2
running,1,1,2
ruined,1,1,2
rocks,1,1,2
respect,1,1,2
recommend,1,1,2
reading,1,1,2
question,1,1,2
purpose,1,1,2
pretend,1,1,2
prepared,1,1,2
possibly,1,1,2
positive,1,1,2
polite,1,1,2
piece,1,1,2
passed,1,1,2
office,1,1,2
note,1,1,2
nose,1,1,2
mouth,1,1,2
mothers,1,1,2
miserable,1,1,2
met,1,1,2
matters,1,1,2
married,1,1,2
lying,1,1,2
lovely,1,1,2
lives,1,1,2
lie,1,1,2
leaves,1,1,2
homework,1,1,2
half,1,1,2
guess,1,1,2
gorgeous,1,1,2
goodbye,1,1,2
gets,1,1,2
gentlemen,1,1,2
fix,1,1,2
fit,1,1,2
final,1,1,2
fight,1,1,2
fathers,1,1,2
far,1,1,2
fall,1,1,2
easily,1,1,2
dry,1,1,2
dream,1,1,2
dies,1,1,2
died,1,1,2
deserved,1,1,2
department,1,1,2
deaf,1,1,2
cut,1,1,2
count,1,1,2
control,1,1,2
comes,1,1,2
close,1,1,2
clean,1,1,2
chance,1,1,2
calling,1,1,2
broke,1,1,2
behavior,1,1,2
asleep,1,1,2
amazing,1,1,2
don,69,0,69
re,51,0,51
daryl,20,0,20
alex,20,0,20
women,17,0,17
jane,15,0,15
clyde,15,0,15
felicia,14,0,14
sukie,13,0,13
ll,12,0,12
ve,10,0,10
isn,10,0,10
men,9,0,9
town,8,0,8
tickle,8,0,8
bought,8,0,8
van,7,0,7
doesn,7,0,7
walter,6,0,6
mm,6,0,6
husband,6,0,6
horne,6,0,6
hi,6,0,6
faster,6,0,6
cream,6,0,6
aren,6,0,6
sick,5,0,5
short,5,0,5
pregnant,5,0,5
mistakes,5,0,5
lunch,5,0,5
lenox,5,0,5
ladies,5,0,5
kids,5,0,5
ice,5,0,5
huh,5,0,5
hmm,5,0,5
hard,5,0,5
girls,5,0,5
fuck,5,0,5
fidel,5,0,5
eastwick,5,0,5
doctor,5,0,5
afraid,5,0,5
whores,4,0,4
week,4,0,4
um,4,0,4
sweetheart,4,0,4
sugar,4,0,4
strange,4,0,4
starts,4,0,4
precision,4,0,4
passion,4,0,4
music,4,0,4
interview,4,0,4
interesting,4,0,4
human,4,0,4
honey,4,0,4
divorce,4,0,4
disintegrating,4,0,4
couldn,4,0,4
christ,4,0,4
birds,4,0,4
answer,4,0,4
york,3,0,3
wouldn,3,0,3
win,3,0,3
wife,3,0,3
wash,3,0,3
upset,3,0,3
uhn,3,0,3
trust,3,0,3
stupid,3,0,3
spofford,3,0,3
snowy,3,0,3
shit,3,0,3
shh,3,0,3
selling,3,0,3
rid,3,0,3
relax,3,0,3
problem,3,0,3
prissy,3,0,3
prince,3,0,3
pianos,3,0,3
peculiar,3,0,3
peanut,3,0,3
pay,3,0,3
number,3,0,3
newspaper,3,0,3
news,3,0,3
needed,3,0,3
natural,3,0,3
mirror,3,0,3
local,3,0,3
kid,3,0,3
jelly,3,0,3
janey,3,0,3
huge,3,0,3
hardships,3,0,3
handsome,3,0,3
ha,3,0,3
foreign,3,0,3
fish,3,0,3
fault,3,0,3
fabulous,3,0,3
drugs,3,0,3
disappear,3,0,3
days,3,0,3
daylight,3,0,3
darling,3,0,3
crazy,3,0,3
crawl,3,0,3
cherry,3,0,3
case,3,0,3
butter,3,0,3
broad,3,0,3
braved,3,0,3
brains,3,0,3
bone,3,0,3
bond,3,0,3
anymore,3,0,3
alexandra,3,0,3
admit,3,0,3
witches,2,0,2
wish,2,0,2
wilderness,2,0,2
waves,2,0,2
wasted,2,0,2
war,2,0,2
visions,2,0,2
vice,2,0,2
vast,2,0,2
values,2,0,2
unloads,2,0,2
uncontrollable,2,0,2
traveling,2,0,2
thursday,2,0,2
thumb,2,0,2
throw,2,0,2
tennis,2,0,2
tamed,2,0,2
tall,2,0,2
talked,2,0,2
surprise,2,0,2
superior,2,0,2
started,2,0,2
standing,2,0,2
son,2,0,2
snakes,2,0,2
smile,2,0,2
size,2,0,2
shirts,2,0,2
selfish,2,0,2
seduce,2,0,2
sea,2,0,2
schyler,2,0,2
scares,2,0,2
scale,2,0,2
reporting,2,0,2
rape,2,0,2
putting,2,0,2
prefer,2,0,2
potent,2,0,2
playing,2,0,2
pistachio,2,0,2
pissing,2,0,2
pie,2,0,2
pick,2,0,2
phrases,2,0,2
paper,2,0,2
oversimplifying,2,0,2
overreact,2,0,2
outcries,2,0,2
opinion,2,0,2
notes,2,0,2
neff,2,0,2
morality,2,0,2
mistake,2,0,2
missed,2,0,2
million,2,0,2
midwives,2,0,2
middle,2,0,2
marrow,2,0,2
mansion,2,0,2
male,2,0,2
making,2,0,2
ls,2,0,2
limit,2,0,2
landmark,2,0,2
kidding,2,0,2
jesus,2,0,2
intonation,2,0,2
hundreds,2,0,2
horse,2,0,2
history,2,0,2
guy,2,0,2
growing,2,0,2
goo,2,0,2
fruit,2,0,2
flow,2,0,2
fingers,2,0,2
families,2,0,2
failure,2,0,2
exercise,2,0,2
entire,2,0,2
egrets,2,0,2
dumb,2,0,2
dirt,2,0,2
direct,2,0,2
diddle,2,0,2
dicks,2,0,2
deserted,2,0,2
david,2,0,2
daddy,2,0,2
curse,2,0,2
coochie,2,0,2
considering,2,0,2
consciousness,2,0,2
column,2,0,2
clich,2,0,2
carol,2,0,2
burn,2,0,2
bravis,2,0,2
brava,2,0,2
brain,2,0,2
bowing,2,0,2
bother,2,0,2
boring,2,0,2
birthday,2,0,2
bigger,2,0,2
bends,2,0,2
ballroom,2,0,2
bagels,2,0,2
babies,2,0,2
attention,2,0,2
ass,2,0,2
america,2,0,2
ahead,2,0,2
afternoon,2,0,2
zucchini,1,0,1
yoo,1,0,1
wrote,1,0,1
writer,1,0,1
worked,1,0,1
witchcraft,1,0,1
wishing,1,0,1
whoo,1,0,1
wetlands,1,0,1
wet,1,0,1
weren,1,0,1
wearing,1,0,1
waste,1,0,1
washes,1,0,1
wars,1,0,1
wanting,1,0,1
vulgar,1,0,1
vodka,1,0,1
vibrato,1,0,1
vessels,1,0,1
vegetable,1,0,1
vaccine,1,0,1
using,1,0,1
untrue,1,0,1
unreal,1,0,1
unfaithful,1,0,1
unfair,1,0,1
unattractive,1,0,1
uh,1,0,1
twit,1,0,1
twisted,1,0,1
twenty,1,0,1
turpitude,1,0,1
trough,1,0,1
trivial,1,0,1
trip,1,0,1
trick,1,0,1
track,1,0,1
toxic,1,0,1
tourist,1,0,1
torture,1,0,1
torn,1,0,1
toothbrush,1,0,1
tooth,1,0,1
tongue,1,0,1
toes,1,0,1
tip,1,0,1
tighten,1,0,1
tied,1,0,1
tidal,1,0,1
thy,1,0,1
thursdays,1,0,1
thumbs,1,0,1
throwing,1,0,1
thoughts,1,0,1
thee,1,0,1
th,1,0,1
test,1,0,1
terrific,1,0,1
taught,1,0,1
taste,1,0,1
tara,1,0,1
tapes,1,0,1
systems,1,0,1
sympathy,1,0,1
swine,1,0,1
supernatural,1,0,1
suing,1,0,1
suffocates,1,0,1
sued,1,0,1
sucks,1,0,1
sublime,1,0,1
strung,1,0,1
strove,1,0,1
stretch,1,0,1
strangest,1,0,1
stranger,1,0,1
stood,1,0,1
stimulating,1,0,1
spiccato,1,0,1
speech,1,0,1
spanish,1,0,1
spacious,1,0,1
source,1,0,1
sounds,1,0,1
sounded,1,0,1
sons,1,0,1
solid,1,0,1
socks,1,0,1
society,1,0,1
snap,1,0,1
slut,1,0,1
slowed,1,0,1
sixteenth,1,0,1
singles,1,0,1
sideways,1,0,1
shout,1,0,1
shining,1,0,1
shelves,1,0,1
shed,1,0,1
shamelessness,1,0,1
serpent,1,0,1
serious,1,0,1
separation,1,0,1
senior,1,0,1
sell,1,0,1
selectwoman,1,0,1
selectperson,1,0,1
selectman,1,0,1
seduction,1,0,1
seducing,1,0,1
season,1,0,1
sculptress,1,0,1
screwed,1,0,1
science,1,0,1
schlong,1,0,1
scene,1,0,1
sanctimonious,1,0,1
sam,1,0,1
rum,1,0,1
romantic,1,0,1
riveting,1,0,1
riveted,1,0,1
ripe,1,0,1
ridgemont,1,0,1
retarded,1,0,1
repulsive,1,0,1
reprehensible,1,0,1
rent,1,0,1
renovation,1,0,1
relaxing,1,0,1
rebirth,1,0,1
realtors,1,0,1
rattle,1,0,1
rational,1,0,1
raining,1,0,1
rained,1,0,1
rag,1,0,1
quilting,1,0,1
pussy,1,0,1
pushups,1,0,1
purposes,1,0,1
purple,1,0,1
pudenda,1,0,1
psychoanalysis,1,0,1
propagate,1,0,1
promise,1,0,1
prominent,1,0,1
professional,1,0,1
profession,1,0,1
pretending,1,0,1
pressure,1,0,1
prescott,1,0,1
praying,1,0,1
prayers,1,0,1
pouring,1,0,1
pound,1,0,1
potholders,1,0,1
position,1,0,1
pornography,1,0,1
pools,1,0,1
pool,1,0,1
pocus,1,0,1
plumbing,1,0,1
plain,1,0,1
pissed,1,0,1
pinches,1,0,1
pills,1,0,1
pill,1,0,1
piano,1,0,1
physically,1,0,1
perversions,1,0,1
personality,1,0,1
personal,1,0,1
perfume,1,0,1
perfectly,1,0,1
perfect,1,0,1
percentages,1,0,1
penis,1,0,1
peasy,1,0,1
pearls,1,0,1
pathetic,1,0,1
party,1,0,1
pardon,1,0,1
paranoid,1,0,1
paradise,1,0,1
ozzie,1,0,1
owned,1,0,1
ow,1,0,1
outrageous,1,0,1
ounce,1,0,1
orientals,1,0,1
ooh,1,0,1
nuts,1,0,1
nurse,1,0,1
nuclear,1,0,1
noise,1,0,1
nights,1,0,1
nest,1,0,1
nervous,1,0,1
neighbor,1,0,1
needlepoint,1,0,1
nazi,1,0,1
names,1,0,1
naked,1,0,1
mountains,1,0,1
mountain,1,0,1
mount,1,0,1
motherhood,1,0,1
morn,1,0,1
mores,1,0,1
morally,1,0,1
mookie,1,0,1
monty,1,0,1
months,1,0,1
mom,1,0,1
modern,1,0,1
misery,1,0,1
minor,1,0,1
millions,1,0,1
milk,1,0,1
medieval,1,0,1
medical,1,0,1
medford,1,0,1
masculine,1,0,1
martooni,1,0,1
martha,1,0,1
marcato,1,0,1
majesties,1,0,1
magazines,1,0,1
macrame,1,0,1
macram,1,0,1
luxury,1,0,1
loved,1,0,1
lousy,1,0,1
losing,1,0,1
lock,1,0,1
lips,1,0,1
limp,1,0,1
liked,1,0,1
liar,1,0,1
letterman,1,0,1
lenoxes,1,0,1
legs,1,0,1
legato,1,0,1
lech,1,0,1
learn,1,0,1
leader,1,0,1
laundry,1,0,1
laugh,1,0,1
language,1,0,1
labored,1,0,1
knowing,1,0,1
key,1,0,1
kept,1,0,1
keeps,1,0,1
junkie,1,0,1
juice,1,0,1
invited,1,0,1
invent,1,0,1
intimate,1,0,1
interviews,1,0,1
interviewed,1,0,1
intercourse,1,0,1
intelligence,1,0,1
intellectually,1,0,1
instrument,1,0,1
insensitive,1,0,1
initial,1,0,1
individuals,1,0,1
independence,1,0,1
increase,1,0,1
inconvenient,1,0,1
incest,1,0,1
immune,1,0,1
image,1,0,1
hysterical,1,0,1
hurting,1,0,1
humor,1,0,1
humble,1,0,1
housework,1,0,1
household,1,0,1
housecleaning,1,0,1
horny,1,0,1
horns,1,0,1
hoo,1,0,1
honor,1,0,1
homes,1,0,1
holocaust,1,0,1
hole,1,0,1
holds,1,0,1
holding,1,0,1
hocus,1,0,1
ho,1,0,1
high,1,0,1
hiding,1,0,1
herbie,1,0,1
hemorrhaging,1,0,1
held,1,0,1
heh,1,0,1
heartburn,1,0,1
healthy,1,0,1
health,1,0,1
hazards,1,0,1
haven,1,0,1
hat,1,0,1
hasn,1,0,1
hardship,1,0,1
hanging,1,0,1
handles,1,0,1
hadn,1,0,1
gravlax,1,0,1
gratitude,1,0,1
granted,1,0,1
grain,1,0,1
grace,1,0,1
grabbing,1,0,1
gossip,1,0,1
golly,1,0,1
goddamn,1,0,1
glad,1,0,1
genius,1,0,1
genetic,1,0,1
gathering,1,0,1
game,1,0,1
gallery,1,0,1
futility,1,0,1
fun,1,0,1
fucking,1,0,1
fruited,1,0,1
fridge,1,0,1
freezing,1,0,1
freezer,1,0,1
foundation,1,0,1
fought,1,0,1
forty,1,0,1
forgetting,1,0,1
forbearers,1,0,1
flowers,1,0,1
floods,1,0,1
flies,1,0,1
fled,1,0,1
flavor,1,0,1
firing,1,0,1
finished,1,0,1
filth,1,0,1
filled,1,0,1
fighting,1,0,1
fertile,1,0,1
females,1,0,1
female,1,0,1
fellow,1,0,1
fed,1,0,1
